# accuracy of sparse recovery for different rho and max_level
    # rho_list, norm_list, opnorm_list, n_meas_list, max_level_list
1.0,0.8055303305179417,0.9999958369562856,2.0,1.0
1.0,0.6553317675668674,0.689590441035556,3.0,2.0
1.0,0.584885078525774,0.6752199929402152,4.0,3.0
1.0,0.48000063566076484,0.6181596406013081,5.0,4.0
1.0,0.9827126464644378,1.4668684098749023,6.0,5.0
1.0,0.6166861760561101,0.8007996567894684,8.0,6.0
1.0,0.6468630178216397,0.8299326383370974,10.0,7.0
1.0,0.7237437651160693,0.9018841657065692,12.0,8.0
1.0,2.979360000480641,6.110444148839949,14.0,9.0
1.0,3.5195226823587316,6.0566024276385,15.0,10.0
1.0,54.62603849989029,119.0097807157834,16.0,11.0
2.0,0.8055303305179417,0.9999958369562856,2.0,1.0
2.0,0.6112933964776892,0.5588514943138984,4.0,2.0
2.0,0.5255936836149792,0.48859422503114874,6.0,3.0
2.0,0.38481779982565584,0.339612974374539,8.0,4.0
2.0,0.27814988011106573,0.21395019610226104,10.0,5.0
2.0,1.4799514247474483,3.191193929874982,12.0,6.0
2.0,255.96474119799893,568.5008500775429,15.0,7.0
2.0,2256.8051487336575,5013.751635172089,17.0,8.0
2.0,36785.81411944143,81747.05471708701,19.0,9.0
2.0,1.556255056989496e8,3.45881089404414e8,21.0,10.0
2.0,1.272209205359987e11,2.827525903688044e11,23.0,11.0
3.0,0.8055303305179417,0.9999958369562856,2.0,1.0
3.0,0.6112933964776892,0.5588514943138984,4.0,2.0
3.0,0.5254059086069142,0.48818995926436654,8.0,3.0
3.0,0.3799826134264326,0.3370893457873712,13.0,4.0
3.0,0.5538006442112701,1.131297782915028,17.0,5.0
3.0,0.5787979329384726,1.0539964229026413,22.0,6.0
3.0,4.724549250548335,10.047129247203728,26.0,7.0
3.0,55.749100467201124,99.98937918739058,31.0,8.0
3.0,92990.30174154627,206659.9224320296,35.0,9.0
3.0,1.976439891096258e7,3.688428772472064e7,40.0,10.0
3.0,4.395885202892359e10,8.9443704904954e10,43.0,11.0
4.0,0.8055303305179417,0.9999958369562856,2.0,1.0
4.0,0.6112933964776892,0.5588514943138984,4.0,2.0
4.0,0.5254059086069142,0.48818995926436654,8.0,3.0
4.0,0.37998188015942747,0.33772720476477625,12.0,4.0
4.0,0.22031617338812057,0.17053803005904744,16.0,5.0
4.0,0.12633164169384362,0.13082871880198355,20.0,6.0
4.0,0.27070428951610453,0.37723243562944175,24.0,7.0
4.0,143.09890845776084,315.19379533878976,28.0,8.0
4.0,2366.679059571487,4329.744692768384,32.0,9.0
4.0,1.6139951472403746e10,3.4650906537450615e10,36.0,10.0
4.0,1.5291576452210297e13,3.1908421581329293e13,39.0,11.0
5.0,0.8055303305179417,0.9999958369562856,2.0,1.0
5.0,0.6112933964776892,0.5588514943138984,4.0,2.0
5.0,0.5254059086069142,0.48818995926436654,8.0,3.0
5.0,0.3799850950381891,0.3379037114066261,16.0,4.0
5.0,0.21457297781979104,0.17055410392221426,22.0,5.0
5.0,0.13929438556092225,0.1743757374954081,29.0,6.0
5.0,1.0754901639043395,2.3577912456388397,38.0,7.0
