# accuracy of sparse recovery for different rho and max_level
    # rho_list, norm_list, opnorm_list, n_meas_list, max_level_list
a,b,c,d,e
8.5,0.5263497591140709,0.4945575383861498,4.0,2.0
8.5,0.3770375821754356,0.35637307823095177,8.0,3.0
8.5,0.22575130400517898,0.2002032893949018,16.0,4.0
8.5,0.12877492556749007,0.10920331581416974,25.0,5.0
8.5,0.06614154955123437,0.04891158511044428,34.0,6.0
8.5,0.03253028647255243,0.017565188160495387,43.0,7.0
8.5,0.019239442752845577,0.008913141998511249,52.0,8.0
8.5,0.0088887957056749,0.00761554735211312,59.0,9.0
8.5,0.0045791275562361965,0.005905683803023414,62.0,10.0
9.0,0.6235121449100712,0.5762505187641658,2.0,1.0
9.0,0.5263497591140709,0.4945575383861498,4.0,2.0
9.0,0.3770375821754356,0.35637307823095177,8.0,3.0
9.0,0.22575130400517898,0.2002032893949018,16.0,4.0
9.0,0.12877492556749007,0.10920331581416974,25.0,5.0
9.0,1.2438828151160704,2.1754406911727813,34.0,6.0
9.0,11.78939159608054,20.647686952833542,43.0,7.0
9.0,11.789362368358514,20.64768667997188,52.0,8.0
9.0,11.78934984777788,20.647686572175342,60.0,9.0
9.0,11.789347285238563,20.647686500212483,63.0,10.0
9.5,0.6235121449100712,0.5762505187641658,2.0,1.0
9.5,0.5263497591140709,0.4945575383861498,4.0,2.0
9.5,0.3770375821754356,0.35637307823095177,8.0,3.0
9.5,0.22575130400517898,0.2002032893949018,16.0,4.0
9.5,0.1287654012245776,0.10921721577604476,26.0,5.0
9.5,0.06609704630991212,0.04891041626920571,36.0,6.0
9.5,0.03241706624955241,0.017564893283357034,46.0,7.0
9.5,0.0191016185085786,0.008913091888751333,55.0,8.0
9.5,0.008441867770891075,0.006506455590093501,63.0,9.0
9.5,0.0037538450585005764,0.004867216303719128,66.0,10.0
10.0,0.6235121449100712,0.5762505187641658,2.0,1.0
10.0,0.5263497591140709,0.4945575383861498,4.0,2.0
10.0,0.3770375821754356,0.35637307823095177,8.0,3.0
10.0,0.22575130400517898,0.2002032893949018,16.0,4.0
10.0,0.1287654012245776,0.10921721577604476,26.0,5.0
10.0,0.06608492893826019,0.04891017325383667,36.0,6.0
10.0,0.03239465877831243,0.01756364823621003,46.0,7.0
10.0,0.019066713835845937,0.008913103460024866,56.0,8.0
10.0,0.008358835595646485,0.00648766735905632,64.0,9.0
10.0,0.0035372599285550133,0.004758668522690431,67.0,10.0
10.5,0.6235121449100712,0.5762505187641658,2.0,1.0
10.5,0.5263497591140709,0.4945575383861498,4.0,2.0
10.5,0.3770375821754356,0.35637307823095177,8.0,3.0
10.5,0.22575130400517898,0.2002032893949018,16.0,4.0
10.5,0.12876356263953942,0.10921739793314987,27.0,5.0
10.5,0.06607878842599707,0.04891325313744495,38.0,6.0
10.5,0.03238770558608697,0.017564143536421307,49.0,7.0
10.5,0.019049045717307745,0.008913060974392392,59.0,8.0
10.5,0.008328042014052295,0.006457986272487486,67.0,9.0
10.5,0.0035713603800539705,0.004946250756868749,70.0,10.0
11.0,0.6235121449100712,0.5762505187641658,2.0,1.0
11.0,0.5263497591140709,0.4945575383861498,4.0,2.0
11.0,0.3770375821754356,0.35637307823095177,8.0,3.0
11.0,0.22575130400517898,0.2002032893949018,16.0,4.0
11.0,0.12876374435261623,0.10921392495121278,27.0,5.0
11.0,0.06608074457792053,0.04891003287594915,38.0,6.0
11.0,0.03239214254408232,0.01756389297339837,49.0,7.0
11.0,0.01905541498699831,0.008913054304194942,59.0,8.0
11.0,0.008338627815415185,0.006458771199494301,67.0,9.0
11.0,0.0035936509304538753,0.004934621582806474,70.0,10.0
11.5,0.6235121449100712,0.5762505187641658,2.0,1.0
11.5,0.5263497591140709,0.4945575383861498,4.0,2.0
11.5,0.3770375821754356,0.35637307823095177,8.0,3.0
11.5,0.22575130400517898,0.2002032893949018,16.0,4.0
11.5,0.1287616384260626,0.10921379348671151,28.0,5.0
11.5,0.06607684675131667,0.04891063230887262,40.0,6.0
11.5,0.032355769722266677,0.017563972686568997,52.0,7.0
11.5,0.01894721018842914,0.008913049151362016,63.0,8.0
11.5,0.008091290367099158,0.006450690485927316,71.0,9.0
11.5,0.0028753510434409483,0.004224657054922745,74.0,10.0
12.0,0.6235121449100712,0.5762505187641658,2.0,1.0
12.0,0.5263497591140709,0.4945575383861498,4.0,2.0
12.0,0.3770375821754356,0.35637307823095177,8.0,3.0
12.0,0.22575130400517898,0.2002032893949018,16.0,4.0
12.0,0.12876119244425455,0.10921363627736146,28.0,5.0
12.0,0.06659241661863674,0.048911852561456345,40.0,6.0
12.0,0.033647677331280365,0.017561729985658914,52.0,7.0
12.0,0.021098700692661742,0.015281995372305427,63.0,8.0
12.0,0.012310203677192405,0.015313685557040586,71.0,9.0
12.0,0.009716730791263785,0.015373196993552671,74.0,10.0
12.5,0.6235121449100712,0.5762505187641658,2.0,1.0
12.5,0.5263497591140709,0.4945575383861498,4.0,2.0
12.5,0.3770375821754356,0.35637307823095177,8.0,3.0
12.5,0.22575130400517898,0.2002032893949018,16.0,4.0
12.5,0.12876140544372955,0.10921344957284164,29.0,5.0
12.5,0.06608840902057973,0.048911941115405345,42.0,6.0
12.5,0.03239338212393564,0.017562602405867506,54.0,7.0
12.5,0.019058698859817275,0.008913049497867009,65.0,8.0
12.5,0.008345600595071865,0.006450695789370801,73.0,9.0
12.5,0.0036335900785209943,0.004707047757485894,76.0,10.0
13.0,0.6235121449100712,0.5762505187641658,2.0,1.0
13.0,0.5263497591140709,0.4945575383861498,4.0,2.0
13.0,0.3770375821754356,0.35637307823095177,8.0,3.0
13.0,0.22575130400517898,0.2002032893949018,16.0,4.0
13.0,0.12876229316079177,0.10921266087376613,29.0,5.0
13.0,0.06637892236910758,0.048907781493431335,42.0,6.0
13.0,0.03298062425173699,0.0175635642913577,55.0,7.0
13.0,0.020042379522061258,0.012073770019546955,66.0,8.0
13.0,0.010401005143323084,0.012067333621946152,74.0,9.0
13.0,0.007190728601342135,0.01188981861190917,77.0,10.0
13.5,0.6235121449100712,0.5762505187641658,2.0,1.0
13.5,0.5263497591140709,0.4945575383861498,4.0,2.0
13.5,0.3770375821754356,0.35637307823095177,8.0,3.0
13.5,0.22575130400517898,0.2002032893949018,16.0,4.0
13.5,0.12876060871016637,0.10921289081804632,30.0,5.0
13.5,0.06611973863241667,0.04891204469580507,44.0,6.0
13.5,0.032417372335704187,0.017564634522486272,57.0,7.0
13.5,0.01904751995968087,0.00891305051927348,69.0,8.0
13.5,0.008308228834660874,0.006451704970299001,78.0,9.0
13.5,0.003448221638619459,0.005326836425732545,81.0,10.0
14.0,0.6235121449100712,0.5762505187641658,2.0,1.0
14.0,0.5263497591140709,0.4945575383861498,4.0,2.0
14.0,0.3770375821754356,0.35637307823095177,8.0,3.0
14.0,0.22575130400517898,0.2002032893949018,16.0,4.0
14.0,0.12876081027899233,0.10921153181030065,30.0,5.0
14.0,0.06606917251669882,0.04891036089739833,44.0,6.0
14.0,0.03232062316729112,0.01756397449204985,57.0,7.0
14.0,0.018883090082992354,0.008913048797536407,69.0,8.0
14.0,0.00793985200543027,0.006451165927350644,78.0,9.0
14.0,0.0025129694550385085,0.003953761561813854,81.0,10.0
14.5,0.6235121449100712,0.5762505187641658,2.0,1.0
14.5,0.5263497591140709,0.4945575383861498,4.0,2.0
14.5,0.3770375821754356,0.35637307823095177,8.0,3.0
14.5,0.22575130400517898,0.2002032893949018,16.0,4.0
14.5,0.12876081027899233,0.10921153181030065,30.0,5.0
14.5,0.06608143688479762,0.048909782173312856,44.0,6.0
14.5,0.0323314674744508,0.017560631385579343,57.0,7.0
14.5,0.018927630046519588,0.008913051666989908,69.0,8.0
14.5,0.008040805367384114,0.0064512275956999845,78.0,9.0
14.5,0.0028013960665985854,0.004378370770217769,81.0,10.0
15.0,0.6235121449100712,0.5762505187641658,2.0,1.0
15.0,0.5263497591140709,0.4945575383861498,4.0,2.0
15.0,0.3770375821754356,0.35637307823095177,8.0,3.0
15.0,0.22575130400517898,0.2002032893949018,16.0,4.0
15.0,0.12875627135247653,0.10921784138173524,31.0,5.0
15.0,0.06626407912749344,0.0489105161704358,46.0,6.0
15.0,0.032768390043210215,0.017560589268144737,60.0,7.0
15.0,0.019774360590702783,0.011412474017252846,72.0,8.0
15.0,0.010065003359492633,0.011756659582611241,81.0,9.0
15.0,0.0072296042330768084,0.012167426016858765,84.0,10.0
15.5,0.6235121449100712,0.5762505187641658,2.0,1.0
15.5,0.5263497591140709,0.4945575383861498,4.0,2.0
15.5,0.3770375821754356,0.35637307823095177,8.0,3.0
15.5,0.22575130400517898,0.2002032893949018,16.0,4.0
15.5,0.12875627135247653,0.10921784138173524,31.0,5.0
15.5,0.0660847775189071,0.04891099979655174,46.0,6.0
15.5,0.03243108768523612,0.01756521162012086,60.0,7.0
15.5,0.0190890977472144,0.008913269237631099,72.0,8.0
15.5,0.008410113340983048,0.006451365458669774,81.0,9.0
15.5,0.003772906637540291,0.005296966337761734,84.0,10.0
16.0,0.6235121449100712,0.5762505187641658,2.0,1.0
16.0,0.5263497591140709,0.4945575383861498,4.0,2.0
16.0,0.3770375821754356,0.35637307823095177,8.0,3.0
16.0,0.22575130400517898,0.2002032893949018,16.0,4.0
16.0,0.12875748389426922,0.10921309737441424,32.0,5.0
16.0,0.06719668368162338,0.04890388040161833,48.0,6.0
16.0,0.03450603471777529,0.021449266345499665,62.0,7.0
16.0,0.02249104302777353,0.020745654345602736,74.0,8.0
16.0,0.014728024972208213,0.020356775985284837,83.0,9.0
16.0,0.011503277442833535,0.019399311528698702,86.0,10.0
16.5,0.6235121449100712,0.5762505187641658,2.0,1.0
16.5,0.5263497591140709,0.4945575383861498,4.0,2.0
16.5,0.3770375821754356,0.35637307823095177,8.0,3.0
16.5,0.22575130400517898,0.2002032893949018,16.0,4.0
16.5,0.12875748389426922,0.10921309737441424,32.0,5.0
16.5,0.07267000984476447,0.05454035741968602,48.0,6.0
16.5,0.0418925025118647,0.045853940447950194,62.0,7.0
16.5,0.03303639949624464,0.04596988260744074,74.0,8.0
16.5,0.02914040679536891,0.04742081563194296,83.0,9.0
16.5,0.03048060245841846,0.05322512570270091,86.0,10.0
17.0,0.6235121449100712,0.5762505187641658,2.0,1.0
17.0,0.5263497591140709,0.4945575383861498,4.0,2.0
17.0,0.3770375821754356,0.35637307823095177,8.0,3.0
17.0,0.22575130400517898,0.2002032893949018,16.0,4.0
17.0,0.12875748389426922,0.10921309737441424,32.0,5.0
17.0,0.06942877712304009,0.04891746092600391,49.0,6.0
17.0,0.04343180652919212,0.05108408797759754,64.0,7.0
17.0,0.04349933221826933,0.06738636260403602,76.0,8.0
17.0,0.054234549356134545,0.09200519521822725,85.0,9.0
17.0,0.02073854768875571,0.03196681542727279,88.0,10.0
17.5,0.6235121449100712,0.5762505187641658,2.0,1.0
17.5,0.5263497591140709,0.4945575383861498,4.0,2.0
17.5,0.3770375821754356,0.35637307823095177,8.0,3.0
17.5,0.22575130400517898,0.2002032893949018,16.0,4.0
17.5,0.12875748389426922,0.10921309737441424,32.0,5.0
17.5,0.06597633683542449,0.04890962458675316,49.0,6.0
17.5,0.03218928832313604,0.017563132662104044,64.0,7.0
17.5,0.0186697002936868,0.00891304378036863,76.0,8.0
17.5,0.00739650100511587,0.0064505455585628715,85.0,9.0
17.5,0.0005011526936373215,0.0008105478086249563,88.0,10.0
18.0,0.6235121449100712,0.5762505187641658,2.0,1.0
18.0,0.5263497591140709,0.4945575383861498,4.0,2.0
18.0,0.3770375821754356,0.35637307823095177,8.0,3.0
18.0,0.22575130400517898,0.2002032893949018,16.0,4.0
18.0,0.12875748389426922,0.10921309737441424,32.0,5.0
18.0,0.06599603290689815,0.04890977681106649,50.0,6.0
18.0,0.032183552261361506,0.017563288880438947,65.0,7.0
18.0,0.01866280032627618,0.008913041512449678,77.0,8.0
18.0,0.00738297749976601,0.006450508087811982,86.0,9.0
18.0,0.0004982224021803401,0.0008277597837644413,89.0,10.0
18.5,0.6235121449100712,0.5762505187641658,2.0,1.0
18.5,0.5263497591140709,0.4945575383861498,4.0,2.0
18.5,0.3770375821754356,0.35637307823095177,8.0,3.0
18.5,0.22575130400517898,0.2002032893949018,16.0,4.0
18.5,0.12875748389426922,0.10921309737441424,32.0,5.0
18.5,0.06599974100241959,0.048913002071597,50.0,6.0
18.5,0.03218462048931495,0.017563060949964134,65.0,7.0
18.5,0.018664910357094344,0.008913043107929827,77.0,8.0
18.5,0.007388323327647935,0.006450509924457348,86.0,9.0
18.5,0.0005295019857019659,0.0008866353654875796,89.0,10.0
19.0,0.6235121449100712,0.5762505187641658,2.0,1.0
19.0,0.5263497591140709,0.4945575383861498,4.0,2.0
19.0,0.3770375821754356,0.35637307823095177,8.0,3.0
19.0,0.22575130400517898,0.2002032893949018,16.0,4.0
19.0,0.12875748389426922,0.10921309737441424,32.0,5.0
19.0,0.06598600035926723,0.048912598842932975,51.0,6.0
19.0,0.03219764392352427,0.01756352535510772,66.0,7.0
19.0,0.01868719046726035,0.008913036036845179,78.0,8.0
19.0,0.007447161531461762,0.006450469406341161,87.0,9.0
19.0,0.0011895820728528477,0.002018654067211427,90.0,10.0
19.5,0.6235121449100712,0.5762505187641658,2.0,1.0
19.5,0.5263497591140709,0.4945575383861498,4.0,2.0
19.5,0.3770375821754356,0.35637307823095177,8.0,3.0
19.5,0.22575130400517898,0.2002032893949018,16.0,4.0
19.5,0.12875748389426922,0.10921309737441424,32.0,5.0
19.5,0.06598485761988244,0.0489102648047682,51.0,6.0
19.5,0.03219677983905263,0.017563535077547585,66.0,7.0
19.5,0.018685735076059383,0.008913035398991982,78.0,8.0
19.5,0.007443526092553746,0.006450475166910863,87.0,9.0
19.5,0.0011746443564932523,0.0019959281031086233,90.0,10.0
20.0,0.6235121449100712,0.5762505187641658,2.0,1.0
20.0,0.5263497591140709,0.4945575383861498,4.0,2.0
20.0,0.3770375821754356,0.35637307823095177,8.0,3.0
20.0,0.22575130400517898,0.2002032893949018,16.0,4.0
20.0,0.12875748389426922,0.10921309737441424,32.0,5.0
20.0,0.0660112211979609,0.04890971938478019,52.0,6.0
20.0,0.032282958058791125,0.01756386913706633,67.0,7.0
20.0,0.018847695028309304,0.008913031332305175,79.0,8.0
20.0,0.007862631077760493,0.006451532206295485,88.0,9.0
20.0,0.002669426369725087,0.004483201856023788,91.0,10.0
