# random low rank approx of A 
    # nm_list, opnorm_list, n_meas_list
0.9157045607253598,0.9999999284549433,1.0
0.8423908357215922,0.99999799750108,2.0
0.8287745366878838,0.981719837625601,3.0
0.7699988405872981,0.9035399487756094,4.0
0.7256971266302602,0.8015688939488841,5.0
0.6236271570947728,0.7057994417835145,6.0
0.5680188068464407,0.6002220068906448,7.0
0.5605804700606538,0.6071537701777431,8.0
0.5356102003417331,0.6143200816503069,9.0
0.4761092971498601,0.4842526664183483,10.0
0.479545272465877,0.5116054840963598,11.0
0.47469820291869047,0.5281805154703837,12.0
0.4159043413156993,0.4192956548485191,13.0
0.40466086953357555,0.4247446752975848,14.0
0.4079994686763804,0.4128900869481081,15.0
0.3671000620637276,0.35816638501854786,16.0
0.37048530519622386,0.4078019682439402,17.0
0.34604434928020894,0.37401739064556166,18.0
0.3229449725758752,0.32168341592745986,19.0
0.31907636788129184,0.33957240165600205,20.0
0.2260967480694458,0.21254698658902282,30.0
0.1661331656001128,0.1401711618088711,40.0
0.12848153095393727,0.09779084760525773,50.0
0.1022772133788797,0.07766243826077218,60.0
0.08255331535464935,0.0603804219587975,70.0
0.06864414114048165,0.04894341300266986,80.0
0.05909576399358305,0.03876890174970501,90.0
0.05008385335785498,0.030280119380935736,100.0
0.04493205349105703,0.028483498246922673,110.0
0.04008293701775881,0.02396877272819476,120.0
0.03614547889620357,0.021404431181776068,130.0
0.03067350861342765,0.016240020567410373,140.0
0.028614892488345516,0.015334964742156232,150.0
0.025234030906645784,0.014195940139473465,160.0
0.023548549780451115,0.011736928289232526,170.0
0.021200736792738005,0.010380615473222516,180.0
0.01967091028392777,0.00963577923126575,190.0
0.01793311590907294,0.008633281238516765,200.0
0.01253958100170853,0.005271411181230582,250.0
0.009241319310019397,0.00400702287328147,300.0
0.007022207512342821,0.002590950463337752,350.0
0.005434114845108538,0.0019536533838242667,400.0
0.00427476191650308,0.0015104343682898235,450.0
0.0034093874162804674,0.0011705700504580842,500.0
