# accuracy of sparse recovery for different rho and max_level
    # rho_list, norm_list, opnorm_list, n_meas_list, max_level_list
1.0,0.7945034888485517,0.9999944848854821,2.0,1.0
1.0,0.6356022649368878,0.6850043581629277,3.0,2.0
1.0,0.5671854576094167,0.6672629277628004,4.0,3.0
1.0,0.46822200791358254,0.6065520564934994,5.0,4.0
1.0,0.38831687931953435,0.5933233696735997,7.0,5.0
1.0,0.3934086505229459,0.45864056845431445,9.0,6.0
1.0,1.8216953823861266,3.800696050344192,10.0,7.0
2.0,0.7945034888485517,0.9999944848854821,2.0,1.0
2.0,0.5875707164591363,0.550448536724522,4.0,2.0
2.0,0.5023386952958365,0.48969863987776735,6.0,3.0
2.0,0.34090555334382144,0.33597164742814056,8.0,4.0
2.0,0.29182319922978117,0.39733152571933167,11.0,5.0
2.0,0.8909289249810574,1.6328954619173974,14.0,6.0
2.0,29.796674482948784,64.75559329644264,16.0,7.0
3.0,0.7945034888485517,0.9999944848854821,2.0,1.0
3.0,0.5875707164591363,0.550448536724522,4.0,2.0
3.0,0.5021907658567029,0.48943753824128433,8.0,3.0
3.0,0.33815416473831894,0.3355687002459013,13.0,4.0
3.0,0.1808221362452747,0.21338005016029804,17.0,5.0
3.0,0.3484273150261563,0.6146730331827955,21.0,6.0
3.0,11.30151311592691,19.634543640492147,23.0,7.0
4.0,0.7945034888485517,0.9999944848854821,2.0,1.0
4.0,0.5875707164591363,0.550448536724522,4.0,2.0
4.0,0.5021907658567029,0.48943753824128433,8.0,3.0
4.0,0.3383451396303828,0.3349397096094812,12.0,4.0
4.0,0.2070732772182493,0.3065440157724067,16.0,5.0
4.0,0.32445353752430156,0.5284530771343711,20.0,6.0
4.0,2.3382364550290458,5.028860250934399,23.0,7.0
5.0,0.7945034888485517,0.9999944848854821,2.0,1.0
5.0,0.5875707164591363,0.550448536724522,4.0,2.0
5.0,0.5021907658567029,0.48943753824128433,8.0,3.0
5.0,0.3383256367263756,0.33556701125960864,16.0,4.0
5.0,0.15276305034204865,0.15486536194587514,22.0,5.0
5.0,0.32404672984333444,0.6845478075110722,29.0,6.0
5.0,2.261507949928729,4.660180049627147,32.0,7.0
6.0,0.7945034888485517,0.9999944848854821,2.0,1.0
6.0,0.5875707164591363,0.550448536724522,4.0,2.0
6.0,0.5021907658567029,0.48943753824128433,8.0,3.0
6.0,0.3383256367263756,0.33556701125960864,16.0,4.0
6.0,0.15275822764307728,0.15486486690184584,26.0,5.0
6.0,0.04125545756031366,0.05817013711729693,34.0,6.0
6.0,324.9429717635508,705.6171462506693,37.0,7.0
7.0,0.7945034888485517,0.9999944848854821,2.0,1.0
7.0,0.5875707164591363,0.550448536724522,4.0,2.0
7.0,0.5021907658567029,0.48943753824128433,8.0,3.0
7.0,0.3383256367263756,0.33556701125960864,16.0,4.0
7.0,0.1527574376723606,0.15486494370867004,25.0,5.0
7.0,0.03145434869028029,0.0375414160021802,36.0,6.0
7.0,5.152826850330285e9,1.120062785029597e10,40.0,7.0
8.0,0.7945034888485517,0.9999944848854821,2.0,1.0
8.0,0.5875707164591363,0.550448536724522,4.0,2.0
8.0,0.5021907658567029,0.48943753824128433,8.0,3.0
8.0,0.3383256367263756,0.33556701125960864,16.0,4.0
8.0,0.15275841155123626,0.1548618775283886,24.0,5.0
8.0,0.03011621038875047,0.03754583825244693,32.0,6.0
8.0,0.03804372646892947,0.06560122691677552,37.0,7.0
9.0,0.7945034888485517,0.9999944848854821,2.0,1.0
9.0,0.5875707164591363,0.550448536724522,4.0,2.0
9.0,0.5021907658567029,0.48943753824128433,8.0,3.0
9.0,0.3383256367263756,0.33556701125960864,16.0,4.0
9.0,0.15275986847657352,0.1548648607696684,32.0,5.0
9.0,0.030041016978307012,0.03752436443705118,46.0,6.0
9.0,0.6825816812926829,1.4466203626224208,51.0,7.0
10.0,0.7945034888485517,0.9999944848854821,2.0,1.0
