# accuracy of sparse recovery for different rho and max_level
    # rho_list, norm_list, opnorm_list, n_meas_list, max_level_list
1.0,0.8054076318500407,0.9999958278123479,2.0,1.0
1.0,0.6551042274089661,0.6895546577082037,3.0,2.0
1.0,0.5849452933135936,0.6751338758703672,4.0,3.0
1.0,0.4785281902619057,0.6181369909289472,5.0,4.0
1.0,0.8820614017726879,1.4106677088784094,6.0,5.0
1.0,1.259905591267926,2.5157669661855317,8.0,6.0
1.0,1.2663819844308017,2.507578571637241,10.0,7.0
1.0,1.4971936203414014,2.4742360042166913,11.0,8.0
1.0,5.547448874585331,11.200172442734361,12.0,9.0
1.0,44.20249736537307,95.42342241909881,13.0,10.0
2.0,0.8054076318500407,0.9999958278123479,2.0,1.0
2.0,0.6110228415064647,0.5587879594551244,4.0,2.0
2.0,0.5256233287190405,0.48914233059730017,6.0,3.0
2.0,0.38424148462365854,0.33972068481644074,8.0,4.0
2.0,0.2733215035397994,0.20846976624994434,10.0,5.0
2.0,0.6762931893397223,1.2701346247047671,13.0,6.0
2.0,48.812737627002114,108.30571427847747,15.0,7.0
2.0,87.63619026583999,172.73607951213197,17.0,8.0
2.0,273.05421005615557,505.8247282831437,19.0,9.0
2.0,418191.2975302052,928943.9864103479,21.0,10.0
3.0,0.8054076318500407,0.9999958278123479,2.0,1.0
3.0,0.6110228415064647,0.5587879594551244,4.0,2.0
3.0,0.525438614026704,0.48883021597005066,8.0,3.0
3.0,0.3797091772697039,0.337206471025396,13.0,4.0
3.0,1.2804436299707758,2.787221831887013,17.0,5.0
3.0,1.7609911991073106,2.982170963994721,21.0,6.0
3.0,74.13694657414962,159.5564027520693,25.0,7.0
3.0,343.5747721652784,741.4979427155446,30.0,8.0
3.0,182232.116487253,404869.0799726114,34.0,9.0
3.0,2.0726811678521593e9,4.605385015322063e9,37.0,10.0
4.0,0.8054076318500407,0.9999958278123479,2.0,1.0
4.0,0.6110228415064647,0.5587879594551244,4.0,2.0
4.0,0.525438614026704,0.48883021597005066,8.0,3.0
4.0,0.379714240945798,0.3378951268806723,12.0,4.0
4.0,0.8198956373775278,1.7585783634753003,16.0,5.0
4.0,0.5936223283007351,1.2001741974970974,20.0,6.0
4.0,2.5507051500213045,4.292274019346839,24.0,7.0
4.0,29.213983705238366,46.056411263607856,28.0,8.0
4.0,7905.459911764271,17288.03315861899,32.0,9.0
4.0,2.6248410026590366e7,5.637687422973137e7,35.0,10.0
5.0,0.8054076318500407,0.9999958278123479,2.0,1.0
5.0,0.6110228415064647,0.5587879594551244,4.0,2.0
5.0,0.525438614026704,0.48883021597005066,8.0,3.0
5.0,0.3797144256679719,0.33800805410469054,16.0,4.0
5.0,0.21386495662528562,0.1699021150474964,22.0,5.0
5.0,0.15658145434800014,0.24083203079794152,29.0,6.0
5.0,1.2529913399566082,2.7286108618570486,38.0,7.0
5.0,592.8146924874638,783.369723751805,46.0,8.0
5.0,4.723806879056822e6,1.0495822288906336e7,52.0,9.0
5.0,1.6753636101507014e12,3.722549554889515e12,55.0,10.0
6.0,0.8054076318500407,0.9999958278123479,2.0,1.0
6.0,0.6110228415064647,0.5587879594551244,4.0,2.0
6.0,0.525438614026704,0.48883021597005066,8.0,3.0
6.0,0.3797144256679719,0.33800805410469054,16.0,4.0
6.0,0.21386143633698879,0.16991229711811326,26.0,5.0
6.0,0.09880405394534704,0.06629471444880876,34.0,6.0
6.0,0.03907699942609106,0.020801700798399627,44.0,7.0
6.0,0.31248694458696613,0.4990657941944997,52.0,8.0
6.0,18903.075770348943,41965.973740873065,58.0,9.0
6.0,1.6975468653390277e6,3.7521290837756437e6,64.0,10.0
7.0,0.8054076318500407,0.9999958278123479,2.0,1.0
7.0,0.6110228415064647,0.5587879594551244,4.0,2.0
7.0,0.525438614026704,0.48883021597005066,8.0,3.0
7.0,0.3797144256679719,0.33800805410469054,16.0,4.0
7.0,0.21385897211043678,0.16991331995882183,25.0,5.0
7.0,0.09849665167862275,0.06630154038349127,36.0,6.0
7.0,0.044870276364426795,0.05224050867121371,44.0,7.0
7.0,7.3851377759458465,14.806347311552411,53.0,8.0
7.0,1.302544216777469e6,2.8416559102108716e6,63.0,9.0
7.0,1.4403744443712994e11,3.17928386959537e11,68.0,10.0
8.0,0.8054076318500407,0.9999958278123479,2.0,1.0
8.0,0.6110228415064647,0.5587879594551244,4.0,2.0
8.0,0.525438614026704,0.48883021597005066,8.0,3.0
8.0,0.3797144256679719,0.33800805410469054,16.0,4.0
8.0,0.21386479074601525,0.16991505978355345,24.0,5.0
8.0,0.0991990649375742,0.06628033896454065,32.0,6.0
8.0,0.056501674586381424,0.08389239929470207,40.0,7.0
8.0,0.7418797304300087,1.5141121712646133,48.0,8.0
8.0,20.836195409285686,42.43313957840802,59.0,9.0
8.0,1.633300958014334e7,3.629100815064045e7,66.0,10.0
9.0,0.8054076318500407,0.9999958278123479,2.0,1.0
9.0,0.6110228415064647,0.5587879594551244,4.0,2.0
9.0,0.525438614026704,0.48883021597005066,8.0,3.0
9.0,0.3797144256679719,0.33800805410469054,16.0,4.0
9.0,0.213864995659226,0.16991517448593713,32.0,5.0
9.0,0.09858297641339957,0.06630801260478869,46.0,6.0
9.0,0.03814770566972944,0.02080684381935612,56.0,7.0
9.0,0.020813131951682814,0.03241228201598732,67.0,8.0
9.0,1058.9755650602906,2352.9853524975324,78.0,9.0
9.0,16268.691763374674,30016.72822364141,87.0,10.0
10.0,0.8054076318500407,0.9999958278123479,2.0,1.0
10.0,0.6110228415064647,0.5587879594551244,4.0,2.0
10.0,0.525438614026704,0.48883021597005066,8.0,3.0
10.0,0.3797144256679719,0.33800805410469054,16.0,4.0
10.0,0.213864995659226,0.16991517448593713,32.0,5.0
10.0,0.098584974362541,0.06630824581623077,44.0,6.0
10.0,0.03816533926841721,0.020806450223992027,58.0,7.0
10.0,0.018933312363050972,0.032102773717502406,70.0,8.0
10.0,13.487585079684957,29.835077499220382,81.0,9.0
10.0,1.7893071853376688e6,3.6735817311997367e6,89.0,10.0
11.0,0.8054076318500407,0.9999958278123479,2.0,1.0
11.0,0.6110228415064647,0.5587879594551244,4.0,2.0
11.0,0.525438614026704,0.48883021597005066,8.0,3.0
11.0,0.3797144256679719,0.33800805410469054,16.0,4.0
11.0,0.213864995659226,0.16991517448593713,32.0,5.0
11.0,0.09858497816426542,0.06630825222958422,53.0,6.0
11.0,0.03814544842031844,0.020806457945786075,73.0,7.0
11.0,0.012131343099684694,0.005430045378095869,89.0,8.0
11.0,0.002540206265831746,0.0017795721404456459,102.0,9.0
11.0,0.11475585378628407,0.22397200070443113,111.0,10.0
12.0,0.8054076318500407,0.9999958278123479,2.0,1.0
12.0,0.6110228415064647,0.5587879594551244,4.0,2.0
12.0,0.525438614026704,0.48883021597005066,8.0,3.0
12.0,0.3797144256679719,0.33800805410469054,16.0,4.0
12.0,0.213864995659226,0.16991517448593713,32.0,5.0
12.0,0.0985849767808162,0.06630825506290158,52.0,6.0
12.0,0.038145692977165836,0.020806455214892747,68.0,7.0
12.0,0.012129912477020598,0.005429986725489108,86.0,8.0
12.0,0.043238537019847575,0.0952644896564347,102.0,9.0
12.0,10251.55924630244,22778.288655388995,111.0,10.0
13.0,0.8054076318500407,0.9999958278123479,2.0,1.0
13.0,0.6110228415064647,0.5587879594551244,4.0,2.0
13.0,0.525438614026704,0.48883021597005066,8.0,3.0
13.0,0.3797144256679719,0.33800805410469054,16.0,4.0
13.0,0.213864995659226,0.16991517448593713,32.0,5.0
13.0,0.09858497756683574,0.06630825430670324,51.0,6.0
13.0,0.03814618368135821,0.02080645782574995,76.0,7.0
13.0,0.012129847460566397,0.005430058925007272,96.0,8.0
13.0,0.0051275696410808804,0.006891032850026734,113.0,9.0
13.0,18.6370048592338,41.407009528699405,126.0,10.0
14.0,0.8054076318500407,0.9999958278123479,2.0,1.0
14.0,0.6110228415064647,0.5587879594551244,4.0,2.0
14.0,0.525438614026704,0.48883021597005066,8.0,3.0
14.0,0.3797144256679719,0.33800805410469054,16.0,4.0
14.0,0.213864995659226,0.16991517448593713,32.0,5.0
14.0,0.09858497886258002,0.06630825478804288,50.0,6.0
14.0,0.038146053277299356,0.02080645821879297,72.0,7.0
14.0,0.012129673367236487,0.00543005252266488,96.0,8.0
14.0,0.0023951054828012905,0.0009746029190672841,115.0,9.0
14.0,8.065902033533412,17.92199526039081,128.0,10.0
15.0,0.8054076318500407,0.9999958278123479,2.0,1.0
15.0,0.6110228415064647,0.5587879594551244,4.0,2.0
15.0,0.525438614026704,0.48883021597005066,8.0,3.0
15.0,0.3797144256679719,0.33800805410469054,16.0,4.0
15.0,0.213864995659226,0.16991517448593713,32.0,5.0
15.0,0.09858497830647898,0.06630825482379239,49.0,6.0
15.0,0.038146048949785474,0.020806457883822124,68.0,7.0
15.0,0.012129712877968792,0.005430040769049578,84.0,8.0
15.0,0.002395142623511701,0.0009746632471215612,100.0,9.0
15.0,0.7024038539647885,1.328716389825292,109.0,10.0
16.0,0.8054076318500407,0.9999958278123479,2.0,1.0
16.0,0.6110228415064647,0.5587879594551244,4.0,2.0
16.0,0.525438614026704,0.48883021597005066,8.0,3.0
16.0,0.3797144256679719,0.33800805410469054,16.0,4.0
16.0,0.213864995659226,0.16991517448593713,32.0,5.0
16.0,0.0985849790283221,0.06630825486183578,48.0,6.0
16.0,0.038146071807561056,0.02080645815049917,64.0,7.0
16.0,0.012129711478342953,0.005430043539072087,87.0,8.0
16.0,0.0023948726010140815,0.0009746315737820473,109.0,9.0
16.0,0.004425685838702854,0.009570647549419792,120.0,10.0
17.0,0.8054076318500407,0.9999958278123479,2.0,1.0
17.0,0.6110228415064647,0.5587879594551244,4.0,2.0
17.0,0.525438614026704,0.48883021597005066,8.0,3.0
17.0,0.3797144256679719,0.33800805410469054,16.0,4.0
17.0,0.213864995659226,0.16991517448593713,32.0,5.0
17.0,0.09858497905944189,0.06630825485107168,64.0,6.0
17.0,0.03814607197417508,0.020806457934802538,94.0,7.0
17.0,0.012129711481849383,0.005430043267285926,110.0,8.0
17.0,0.0023951115249477473,0.0009746282586196846,128.0,9.0
17.0,0.018430159167721942,0.04079878387187561,140.0,10.0
18.0,0.8054076318500407,0.9999958278123479,2.0,1.0
18.0,0.6110228415064647,0.5587879594551244,4.0,2.0
18.0,0.525438614026704,0.48883021597005066,8.0,3.0
18.0,0.3797144256679719,0.33800805410469054,16.0,4.0
